50,,Russia aims Ukraine disinformation at Spanish speakers - ABC News,https://abcnews.go.com/Politics/wireStory/russia-aims-ukraine-disinformation-spanish-speakers-83826780
51,2022,Can Computers Learn Common Sense? | The New Yorker,https://www.newyorker.com/tech/annals-of-technology/can-computers-learn-common-sense
52,1988,Elizabeth Warren’s plan to break up Big Tech and other mergers - Vox,https://www.vox.com/recode/23003056/elizabeth-warren-big-tech-mergers
53,2015,In the World of NFTs, Who's Making Money Off Your Image?  | WIRED,https://www.wired.com/story/blockchain-copyright-portrait-piracy
54,,Artificial Intelligence and the Feminist Decolonial Imagination » Bot Populi,https://botpopuli.net/artificial-intelligence-and-the-feminist-decolonial-imagination
55,2021,The Costs of Connection – How Data is Colonizing Human Life and Appropriating it for Capitalism,https://colonizedbydata.com
56,2021,Data & Society — Parables of AI in/from the Global South,https://datasociety.net/announcements/2021/07/13/call-for-participants-parables-of-ai-in-from-the-global-south
57,,Decolonial AI Manyfesto,https://manyfesto.ai
58,2020,Algorithmic Colonization of Africa – SCRIPTed,https://script-ed.org/article/algorithmic-colonization-of-africa
59,2019,Rumman Chowdhury on AI Ethics and Algorithmic Colonialism | IGSF - McGill University,https://www.mcgill.ca/igsf/channels/event/rumman-chowdhury-ai-ethics-and-algorithmic-colonialism-300414
60,2020,The messy, secretive reality behind OpenAI’s bid to save the world | MIT Technology Review,https://www.technologyreview.com/2020/02/17/844721/ai-openai-moonshot-elon-musk-sam-altman-greg-brockman-messy-secretive-reality
61,2015,The problems AI has today go back centuries | MIT Technology Review,https://www.technologyreview.com/2020/07/31/1005824/decolonial-ai-for-everyone
62,2019,We read the paper that forced Timnit Gebru out of Google. Here’s what it says. | MIT Technology Review,https://www.technologyreview.com/2020/12/04/1013294/google-ai-ethics-research-paper-forced-out-timnit-gebru
63,2016,He got Facebook hooked on AI. Now he can't fix its misinformation addiction | MIT Technology Review,https://www.technologyreview.com/2021/03/11/1020600/facebook-responsible-ai-misinformation
64,2022,AI could help us to work out what psychedelic drugs to do our brains by analyzing the words used in trip reports | MIT Technology Review,https://www.technologyreview.com/2022/03/16/1047350/what-do-psychedelic-drugs-do-to-our-brains-ai-could-help-us-find-out
65,2022,This horse-riding astronaut is a milestone in AI’s ability to make sense of the world | MIT Technology Review,https://www.technologyreview.com/2022/04/06/1049061/dalle-openai-gpt3-ai-agi-multimodal-image-generation
66,2009,South Africa's private surveillance machine is fueling a digital apartheid | MIT Technology Review,https://www.technologyreview.com/2022/04/19/1049996/south-africa-ai-surveillance-digital-apartheid
67,2016,How the AI industry profits from catastrophe | MIT Technology Review,https://www.technologyreview.com/2022/04/20/1050392/ai-industry-appen-scale-data-labels
68,2017,The gig workers fighting back against the algorithms | MIT Technology Review,https://www.technologyreview.com/2022/04/21/1050381/the-gig-workers-fighting-back-against-the-algorithms
69,2022,An MIT Technology Review Series: AI Colonialism | MIT Technology Review,https://www.technologyreview.com/supertopic/ai-colonialism-supertopic
70,1989,Papa Reo,https://papareo.nz
71,2016,INDIGENOUS AI — PEOPLE,https://www.indigenous-ai.net/people
72,2022,This know-it-all AI learns by reading the entire web nonstop | MIT Technology Review,https://www.technologyreview.com/2020/09/04/1008156/knowledge-graph-ai-reads-web-machine-learning-natural-language-processing
